interview_id,theme_name,sentiment,importance_level,quote_sample,turn_number,analyst_notes,created_at,theme_id
P3,ขจัดคราบมัน,Positive,High,Sunlight จะจำเรื่องเลมอน เรื่องความหอม ส่วน LiponF จะเป็นเรื่อง “ล้างคราบมันหมดจด” เหมือนภาพที่เทน้ำแล้วคราบหลุดเลย,22,,2025-12-12T18:50:42.175493,2
P3,ขจัดคราบมัน,Positive,High,LiponF ครับ ใช้น้อย ล้างมันดี แล้วขวดใหญ่ราคาถูกกว่าแบรนด์อื่น,32,,2025-12-12T18:50:42.175493,2
P3,คุ้มค่า,Neutral,Medium,ผมดูเรื่อง “คุ้มค่า” ก่อนเลยครับ หมายถึงใช้แล้วล้างได้หลายรอบ ไม่ต้องบีบเยอะ แล้วก็ต้องล้างคราบมันได้จริง,6,,2025-12-12T18:50:42.175493,3
P3,คุ้มค่า,Positive,Medium,เลือกครับ ของใช้แบบนี้ไม่เน้นแพ็กเกจ ขอแค่ล้างดีและคุ้มพอ,26,,2025-12-12T18:50:42.175493,3
P3,กลิ่นหอม,Positive,Medium,ต่างครับ Sunlight กลิ่นหอมกว่า ล้างออกง่ายกว่า แต่ LiponF รู้สึกว่าล้างมันออกสะอาดกว่า โดยเฉพาะตอนล้างกระทะ,8,,2025-12-12T18:50:42.175493,1
P3,ล้างออกง่าย,Positive,Medium,ต่างครับ Sunlight กลิ่นหอมกว่า ล้างออกง่ายกว่า แต่ LiponF รู้สึกว่าล้างมันออกสะอาดกว่า โดยเฉพาะตอนล้างกระทะ,8,,2025-12-12T18:50:42.175493,8
P3,ล้างออกง่าย,Negative,Medium,อยากให้เข้มข้นแต่ล้างออกง่าย กลิ่นอ่อนๆ ไม่ต้องแรงมาก แล้วก็มีหัวปั๊ม จะได้ใช้สะดวกเวลามือเปียก,30,,2025-12-12T18:50:42.175493,8
P3,ฟอง,Positive,Medium,ผมชอบฟองเยอะพอดีครับ ฟองเยอะไปก็เปลืองน้ำ ฟองน้อยไปก็ไม่รู้สึกว่าสะอาด,12,,2025-12-12T18:50:42.175493,5
P3,มือไม่แห้ง,Neutral,Medium,ไม่ค่อยครับ มือผู้ชายน่าจะทนกว่า ฮ่าๆ ภรรยาเคยบ่นเรื่องมือแห้ง แต่ผมไม่รู้สึก,14,,2025-12-12T18:50:42.175493,6
P3,ราคา,Mixed,High,สนใจครับ แต่ต้องดูราคาด้วย ถ้าแพงกว่ามากคงไม่เปลี่ยน เพราะของเดิมก็ใช้ได้ดีอยู่แล้ว,16,,2025-12-12T18:50:42.175493,7
P3,ราคา,Neutral,High,ซื้อจากห้าง Makro ครับ ยกลังไว้เลย เพราะถูกกว่าเยอะ,24,,2025-12-12T18:50:42.175493,7
P3,ราคา,Positive,High,LiponF ครับ ใช้น้อย ล้างมันดี แล้วขวดใหญ่ราคาถูกกว่าแบรนด์อื่น,32,,2025-12-12T18:50:42.175493,7
P3,แพ็กเกจ,Positive,Medium,เลือกครับ ของใช้แบบนี้ไม่เน้นแพ็กเกจ ขอแค่ล้างดีและคุ้มพอ,26,,2025-12-12T18:50:42.175493,9
P3,แพ็กเกจ,Positive,Medium,LiponF ครับ ใช้น้อย ล้างมันดี แล้วขวดใหญ่ราคาถูกกว่าแบรนด์อื่น,32,,2025-12-12T18:50:42.175493,9
P4,กลิ่นหอม,Positive,High,ก็รู้จักมาตั้งแต่เด็กอะค่ะ เห็นแม่ใช้ แล้วกลิ่นมันหอมดี ล้างแล้วรู้สึกสะอาด ฟองไม่เยอะเกินไป,4,,2025-12-12T18:50:42.176496,1
P4,กลิ่นหอม,Positive,High,กลิ่นหอมค่ะ (หัวเราะ) เพราะส่วนใหญ่ที่ล้างก็พวกชามแก้ว ช้อนส้อม ไม่มันขนาดนั้น,12,,2025-12-12T18:50:42.176496,1
P4,กลิ่นหอม,Positive,High,กลิ่นหอมอ่อน ๆ ใช้แล้วมือไม่แห้ง ขวดสวย และราคานักศึกษาซื้อได้ (หัวเราะ),24,,2025-12-12T18:50:42.176496,1
P4,ฟอง,Positive,High,ก็รู้จักมาตั้งแต่เด็กอะค่ะ เห็นแม่ใช้ แล้วกลิ่นมันหอมดี ล้างแล้วรู้สึกสะอาด ฟองไม่เยอะเกินไป,4,,2025-12-12T18:50:42.176496,5
P4,ฟอง,Negative,High,เคยลอง LiponF อยู่ช่วงนึงค่ะ แต่รู้สึกว่ากลิ่นแรงกว่า Sunlight นิดนึง แล้วฟองเยอะกว่าด้วย ต้องล้างน้ำนานกว่า,6,,2025-12-12T18:50:42.176496,5
P4,ฟอง,Neutral,High,หมายถึงไม่ต้องล้างน้ำนาน ฟองหมดไว แล้วจานไม่ลื่น ๆ หลังล้าง,22,,2025-12-12T18:50:42.176496,5
P4,ราคา,Mixed,High,ราคากับขนาดขวดค่ะ เพราะอยู่หอ พื้นที่มันเล็ก ถ้าขวดใหญ่เกินก็วางลำบาก แล้วก็ชอบแบบหัวปั๊ม เพราะใช้สะดวก,8,,2025-12-12T18:50:42.176496,7
P4,ราคา,Neutral,High,ออนไลน์จะถูกกว่าเยอะเลยค่ะ ซื้อพวกแพ็กรีฟิลมาแบ่งกันใช้กับเพื่อนในห้อง,10,,2025-12-12T18:50:42.176496,7
P4,ราคา,Mixed,High,สนใจนะคะ ถ้าไม่แพงมาก อยากลองเพราะรู้สึกดีกับสิ่งแวดล้อมด้วย แต่ราคาต้องไม่ต่างเยอะ,20,,2025-12-12T18:50:42.176496,7
P4,ราคา,Positive,High,กลิ่นหอมอ่อน ๆ ใช้แล้วมือไม่แห้ง ขวดสวย และราคานักศึกษาซื้อได้ (หัวเราะ),24,,2025-12-12T18:50:42.176496,7
P4,ราคา,Positive,High,บอกว่า Sunlight ขวดเล็กแบบหัวปั๊ม เพราะใช้สะดวกสุด ล้างง่าย กลิ่นดี ราคาน่ารัก,30,,2025-12-12T18:50:42.176496,7
P4,แพ็กเกจ,Mixed,High,ราคากับขนาดขวดค่ะ เพราะอยู่หอ พื้นที่มันเล็ก ถ้าขวดใหญ่เกินก็วางลำบาก แล้วก็ชอบแบบหัวปั๊ม เพราะใช้สะดวก,8,,2025-12-12T18:50:42.176496,9
P4,แพ็กเกจ,Neutral,High,ออนไลน์จะถูกกว่าเยอะเลยค่ะ ซื้อพวกแพ็กรีฟิลมาแบ่งกันใช้กับเพื่อนในห้อง,10,,2025-12-12T18:50:42.176496,9
P4,แพ็กเกจ,Positive,High,กลิ่นหอมอ่อน ๆ ใช้แล้วมือไม่แห้ง ขวดสวย และราคานักศึกษาซื้อได้ (หัวเราะ),24,,2025-12-12T18:50:42.176496,9
P4,แพ็กเกจ,Positive,High,บอกว่า Sunlight ขวดเล็กแบบหัวปั๊ม เพราะใช้สะดวกสุด ล้างง่าย กลิ่นดี ราคาน่ารัก,30,,2025-12-12T18:50:42.176496,9
P4,มือไม่แห้ง,Neutral,Medium,สีเหลือง สดใส กลิ่นเลมอน แล้วก็แบบล้างง่าย มือไม่แห้ง,18,,2025-12-12T18:50:42.176496,6
P4,มือไม่แห้ง,Positive,Medium,กลิ่นหอมอ่อน ๆ ใช้แล้วมือไม่แห้ง ขวดสวย และราคานักศึกษาซื้อได้ (หัวเราะ),24,,2025-12-12T18:50:42.176496,6
P4,ล้างออกง่าย,Neutral,Medium,สีเหลือง สดใส กลิ่นเลมอน แล้วก็แบบล้างง่าย มือไม่แห้ง,18,,2025-12-12T18:50:42.176496,8
P4,ล้างออกง่าย,Positive,Medium,บอกว่า Sunlight ขวดเล็กแบบหัวปั๊ม เพราะใช้สะดวกสุด ล้างง่าย กลิ่นดี ราคาน่ารัก,30,,2025-12-12T18:50:42.176496,8
P5,ปลอดภัย,Neutral,Medium,เพราะรู้สึกว่าส่วนผสมของแบรนด์ใหญ่ยังเคมีเยอะ แล้วฉันพยายามลดการใช้ของที่มีสารตกค้างหรือทำลายสิ่งแวดล้อมค่ะ,4,,2025-12-12T18:50:42.176496,4
P5,ปลอดภัย,Neutral,Medium,เพราะมันคือของที่เราใช้ทุกวัน ถ้ามีสารตกค้างลงท่อทุกวันก็สะสมในน้ำ ในดิน ถ้าเราเลือกของที่ย่อยสลายได้ มันช่วยมากในภาพรวมค่ะ,26,,2025-12-12T18:50:42.176496,4
P5,แพ็กเกจ,Neutral,High,ดู ingredient ก่อนเลยค่ะ ถ้าไม่มี SLS ไม่มี paraben ถึงจะสนใจ แล้วก็ต้องดูเรื่อง packaging ด้วยว่าขวดรีไซเคิลได้ไหม,6,,2025-12-12T18:50:42.176496,9
P5,แพ็กเกจ,Neutral,High,ขาดความจริงใจเรื่อง sustainability ค่ะ เหมือนเขาพูดว่า eco แต่ยังใช้ขวดพลาสติกเดิม ๆ ไม่มี refill station จริงจัง,12,,2025-12-12T18:50:42.176496,9
P5,แพ็กเกจ,Negative,High,อยากให้ทำระบบ refill หรือให้ขวดคืนได้ในร้านสะดวกซื้อ เหมือนในต่างประเทศ แล้วก็อยากให้เปิดเผยส่วนผสมชัดเจนกว่านี้,24,,2025-12-12T18:50:42.176496,9
P5,ขจัดคราบมัน,Mixed,Medium,ยอมรับว่าล้างมันยากกว่านิดนึง ต้องบีบเยอะกว่า แต่ก็ยอม เพราะรู้สึกดีกว่าที่ไม่ใช้สารแรง ๆ,10,,2025-12-12T18:50:42.176496,2
P5,ราคา,Mixed,Medium,มีบ้าง แต่ถ้าของดีจริง ฉันยอมจ่ายแพงขึ้นได้นิดหน่อย เพราะมันรู้สึกว่าเราช่วยโลกด้วย,20,,2025-12-12T18:50:42.176496,7
P6,คุ้มค่า,Positive,High,ใช้ปริมาณน้อยแต่ล้างได้เยอะ ล้างหม้อกระทะมัน ๆ ก็ออกดี มันประหยัดกว่า เวลาซื้อเป็นแกลลอน ราคาต่อจานต่ำกว่าพวกแบรนด์ทั่วไป,4,,2025-12-12T18:50:42.177493,3
P6,คุ้มค่า,Neutral,High,ราคาต่อปริมาณกับคุณภาพ คือต้องคุ้ม ถ้าเจอโปรซื้อยกลังเลย ร้านเราใช้หมดเร็ว,8,,2025-12-12T18:50:42.177493,3
P6,คุ้มค่า,Positive,High,LiponF ครับ เพราะใช้มานาน ไม่เคยมีปัญหา คุ้มทั้งราคาและความสะอาด,26,,2025-12-12T18:50:42.177493,3
P6,ราคา,Positive,High,ใช้ปริมาณน้อยแต่ล้างได้เยอะ ล้างหม้อกระทะมัน ๆ ก็ออกดี มันประหยัดกว่า เวลาซื้อเป็นแกลลอน ราคาต่อจานต่ำกว่าพวกแบรนด์ทั่วไป,4,,2025-12-12T18:50:42.177493,7
P6,ราคา,Negative,High,ลองครับ พวกแบรนด์โรงงาน ถูกกว่าอีกแต่กลิ่นแรงมาก ล้างเสร็จเหมือนยังมีกลิ่นเคมีติด เลยกลับมาใช้ LiponF เหมือนเดิม,6,,2025-12-12T18:50:42.177493,7
P6,ราคา,Neutral,High,ราคาต่อปริมาณกับคุณภาพ คือต้องคุ้ม ถ้าเจอโปรซื้อยกลังเลย ร้านเราใช้หมดเร็ว,8,,2025-12-12T18:50:42.177493,7
P6,ราคา,Positive,High,LiponF ครับ เพราะใช้มานาน ไม่เคยมีปัญหา คุ้มทั้งราคาและความสะอาด,26,,2025-12-12T18:50:42.177493,7
P6,แพ็กเกจ,Negative,Medium,อยากได้แบบหัวปั๊มหรือถังเติมได้ พนักงานไม่ต้องเทจากขวดใหญ่ให้หก เสียของ,10,,2025-12-12T18:50:42.177493,9
P6,แพ็กเกจ,Positive,Medium,ใช้แน่นอนครับ เพราะซื้อง่ายกว่า เก็บง่าย ลดขยะขวดพลาสติกด้วย ถ้ามีบริการส่งถึงร้านยิ่งดี,22,,2025-12-12T18:50:42.177493,9
P6,ขจัดคราบมัน,Neutral,Medium,พนักงานเคยบ่นครับ แต่ผมก็บอกให้ใส่ถุงมือ ส่วนตัวผมไม่ได้ซีเรียสเรื่องนี้เท่าไหร่ ขอให้ล้างมันออกเร็วเป็นพอ,12,,2025-12-12T18:50:42.177493,2
P6,กลิ่นหอม,Positive,Medium,LiponF เข้มข้นกว่า เหมาะกับร้าน Sunlight กลิ่นหอมแต่ดูเหมาะกับใช้ในบ้านมากกว่า,14,,2025-12-12T18:50:42.177493,1
P6,ฟอง,Mixed,Medium,มีครับ ถ้าฟองเยอะไปมันล้างออกยาก เปลืองน้ำอีก อยากให้ฟองกำลังดี ล้างสองรอบพอ,20,,2025-12-12T18:50:42.177493,5
P6,ปลอดภัย,Negative,Medium,อยากให้มีสูตรสำหรับร้านอาหารโดยเฉพาะ เข้มข้นกว่าแต่ปลอดภัยกับมือ แล้วก็อยากให้กลิ่นไม่แรงเกินไป,24,,2025-12-12T18:50:42.177493,4
P7,ขจัดคราบมัน,Positive,High,ความเงา ต้องไม่มีคราบมันหรือคราบน้ำเลยค่ะ โดยเฉพาะแก้วไวน์ ถ้ามีรอยนิดเดียว หัวหน้าก็ให้ล้างใหม่,4,,2025-12-12T18:50:42.177493,2
P7,ขจัดคราบมัน,Positive,High,ต่างค่ะ LiponF ล้างมันออกง่ายกว่า แต่ฟองเยอะกว่าหน่อย ต้องใช้น้ำเยอะเวลาแก้วเยอะๆ ส่วน Sunlight ล้างออกง่าย ฟองละเอียดดี แต่รู้สึกล้างมันหนักๆ จะไม่หมดเท่า LiponF,6,,2025-12-12T18:50:42.178504,2
P7,ขจัดคราบมัน,Mixed,High,ตอบโจทย์เรื่องล้างมันดี แต่ยังไม่ค่อยตอบโจทย์เรื่องล้างเร็วหรือฟอง เพราะต้องใช้น้ำเยอะ อยากให้มีสูตรที่ล้างไว ฟองหมดเร็วแต่ยังสะอาดเหมือนเดิม,14,,2025-12-12T18:50:42.178504,2
P7,ขจัดคราบมัน,Positive,High,แนะนำ LiponF ค่ะ เพราะล้างมันออกดีมาก แต่จะบอกให้เลือกสูตรที่ฟองน้อยหน่อย จะได้ล้างไว,24,,2025-12-12T18:50:42.178504,2
P7,ล้างออกง่าย,Positive,Medium,ต่างค่ะ LiponF ล้างมันออกง่ายกว่า แต่ฟองเยอะกว่าหน่อย ต้องใช้น้ำเยอะเวลาแก้วเยอะๆ ส่วน Sunlight ล้างออกง่าย ฟองละเอียดดี แต่รู้สึกล้างมันหนักๆ จะไม่หมดเท่า LiponF,6,,2025-12-12T18:50:42.178504,8
P7,ล้างออกง่าย,Mixed,Medium,อยากได้แบบเข้มข้นแต่ล้างออกง่าย ฟองน้อย กลิ่นอ่อน และล้างแล้วแก้วใสเงาเลย จะดีมาก,22,,2025-12-12T18:50:42.178504,8
P7,ฟอง,Positive,High,ต่างค่ะ LiponF ล้างมันออกง่ายกว่า แต่ฟองเยอะกว่าหน่อย ต้องใช้น้ำเยอะเวลาแก้วเยอะๆ ส่วน Sunlight ล้างออกง่าย ฟองละเอียดดี แต่รู้สึกล้างมันหนักๆ จะไม่หมดเท่า LiponF,6,,2025-12-12T18:50:42.178504,5
P7,ฟอง,Mixed,High,ตอบโจทย์เรื่องล้างมันดี แต่ยังไม่ค่อยตอบโจทย์เรื่องล้างเร็วหรือฟอง เพราะต้องใช้น้ำเยอะ อยากให้มีสูตรที่ล้างไว ฟองหมดเร็วแต่ยังสะอาดเหมือนเดิม,14,,2025-12-12T18:50:42.178504,5
P7,ฟอง,Neutral,High,ดูเหมือนของมืออาชีพ ใช้ในร้านอาหาร โรงแรม เชื่อถือได้ แต่กลิ่นกับฟองยังเยอะไปหน่อย,20,,2025-12-12T18:50:42.178504,5
P7,ฟอง,Mixed,High,อยากได้แบบเข้มข้นแต่ล้างออกง่าย ฟองน้อย กลิ่นอ่อน และล้างแล้วแก้วใสเงาเลย จะดีมาก,22,,2025-12-12T18:50:42.178504,5
P7,ฟอง,Positive,High,แนะนำ LiponF ค่ะ เพราะล้างมันออกดีมาก แต่จะบอกให้เลือกสูตรที่ฟองน้อยหน่อย จะได้ล้างไว,24,,2025-12-12T18:50:42.178504,5
P8,ขจัดคราบมัน,Positive,Medium,มันล้างดี คราบมันออกหมด แล้วกลิ่นมันสะอาดดี รู้สึกว่าจานไม่ลื่น ไม่มีกลิ่นตกค้างเลย เหมือนของสมัยก่อนที่ใช้แล้วมั่นใจ,4,,2025-12-12T18:50:42.178504,2
P8,ขจัดคราบมัน,Mixed,Medium,กลิ่นค่ะ อยากให้หอมสะอาด เวลาเก็บจานในตู้แล้วไม่มีกลิ่น กับต้องล้างคราบมันได้ดี โดยไม่ต้องขัดเยอะ,8,,2025-12-12T18:50:42.178504,2
P8,กลิ่นหอม,Mixed,High,Sunlight กลิ่นหอมสดชื่นดีนะ แต่บางทีแรงไปนิด มือจะตึงๆ แต่กลิ่นเลมอนมันชื่นใจ เวลาใช้ตอนเช้าเหมือนบ้านสะอาดขึ้นเลย,6,,2025-12-12T18:50:42.178504,1
P8,กลิ่นหอม,Mixed,High,กลิ่นค่ะ อยากให้หอมสะอาด เวลาเก็บจานในตู้แล้วไม่มีกลิ่น กับต้องล้างคราบมันได้ดี โดยไม่ต้องขัดเยอะ,8,,2025-12-12T18:50:42.178504,1
P8,กลิ่นหอม,Positive,High,LiponF คือของคนไทย ใช้มาตั้งแต่รุ่นแม่ รู้สึกไว้ใจได้ Sunlight ดูสมัยใหม่ กลิ่นหอม แต่เหมาะกับคนรุ่นใหม่มากกว่า,14,,2025-12-12T18:50:42.178504,1
P8,กลิ่นหอม,Mixed,High,สนใจเลยลูก เพราะแม่ชอบล้างเองทุกวัน อยากให้มือนุ่มๆ ไม่แห้ง ถ้ามีกลิ่นหอมอ่อนๆ แบบดอกไม้จะดีมาก,16,,2025-12-12T18:50:42.178504,1
P8,กลิ่นหอม,Positive,High,ก็คง LiponF เพราะใช้มานาน มั่นใจ แต่ถ้าให้พูดถึงกลิ่นหอม ก็ต้อง Sunlight เขาเก่งเรื่องกลิ่นจริงๆ,22,,2025-12-12T18:50:42.178504,1
P8,มือไม่แห้ง,Mixed,Medium,ส่วนมากดูยี่ห้อกับกลิ่น แม่ไม่ค่อยดูราคาเท่าไหร่ เพราะใช้ขวดหนึ่งนานหลายอาทิตย์ อยากได้ที่มั่นใจว่าล้างสะอาด ไม่ทำให้มือแห้ง,12,,2025-12-12T18:50:42.178504,6
P8,มือไม่แห้ง,Mixed,Medium,สนใจเลยลูก เพราะแม่ชอบล้างเองทุกวัน อยากให้มือนุ่มๆ ไม่แห้ง ถ้ามีกลิ่นหอมอ่อนๆ แบบดอกไม้จะดีมาก,16,,2025-12-12T18:50:42.178504,6
P8,ราคา,Mixed,Medium,ส่วนมากดูยี่ห้อกับกลิ่น แม่ไม่ค่อยดูราคาเท่าไหร่ เพราะใช้ขวดหนึ่งนานหลายอาทิตย์ อยากได้ที่มั่นใจว่าล้างสะอาด ไม่ทำให้มือแห้ง,12,,2025-12-12T18:50:42.178504,7
P8,แพ็กเกจ,Mixed,Medium,ส่วนมากดูยี่ห้อกับกลิ่น แม่ไม่ค่อยดูราคาเท่าไหร่ เพราะใช้ขวดหนึ่งนานหลายอาทิตย์ อยากได้ที่มั่นใจว่าล้างสะอาด ไม่ทำให้มือแห้ง,12,,2025-12-12T18:50:42.178504,9
