interview_id,theme_name,theme_category,sentiment,confidence,importance_level,quote_sample,turn_number,transcript_id,reasoning,analyst_notes,created_at,theme_id
P1,กลิ่นหอม,Sensory,Mixed,0.75,High,สนใจนะคะ แต่ต้องกลิ่นไม่เหม็นเขียว แล้วต้องไม่รู้สึกว่าล้างไม่สะอาด บางสูตรธรรมชาติมันลื่นๆ เหมือนล้างไม่หมด,18,18,ผู้ตอบแสดงความสนใจในกลิ่นหอม แต่มีข้อกังวลเกี่ยวกับกลิ่นไม่พึงประสงค์และความรู้สึกว่าล้างไม่สะอาด ซึ่งแสดงถึงความรู้สึกที่หลากหลาย,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Mixed,0.75,High,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,22,22,ข้อความมีความรู้สึกเชิงบวกเกี่ยวกับกลิ่นหอมและความสดชื่น แต่มีความรู้สึกเชิงลบเล็กน้อยเกี่ยวกับรูปลักษณ์ที่ดูบ้านๆ ของผลิตภัณฑ์,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Positive,0.85,High,Sunlight ค่ะ เพราะชอบกลิ่นและล้างออกง่ายกว่า,26,26,ผู้ตอบแสดงความพึงพอใจต่อกลิ่นและความสะอาด,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Positive,0.9,High,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,30,ข้อความแสดงถึงความพึงพอใจในกลิ่นหอม ความสะดวกในการล้าง และดีไซน์ของขวดที่สวยงาม ซึ่งทั้งหมดนี้เป็นลักษณะที่ดีและน่าพอใจ,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Negative,0.9,High,ไม่ค่ะ กลิ่นสำคัญมาก ถ้าไม่ชอบจะรู้สึกเหม็นไปทั้งห้องเลย,32,32,ผู้ตอบแสดงความไม่ชอบกลิ่นที่ไม่พึงประสงค์ ซึ่งทำให้รู้สึกไม่สบายใจและส่งผลกระทบต่อบรรยากาศในห้อง,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Positive,0.8,High,อยากให้เน้นเรื่องกลิ่นและแพ็กเกจจิ้งให้เหมาะกับคนอยู่คอนโด เพราะกลุ่มนี้มีเยอะขึ้นค่ะ,34,34,ข้อความแสดงถึงความต้องการและความคาดหวังในด้านกลิ่นและแพ็กเกจจิ้ง ซึ่งบ่งบอกถึงความสนใจและความพึงพอใจต่อผลิตภัณฑ์ในกลุ่มคนที่อยู่คอนโด,,2025-12-12T18:58:21.813996,1
P1,ขจัดคราบมัน,Performance,Mixed,0.75,High,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,4,4,ผู้ตอบมีความพึงพอใจต่อกลิ่นและความสะอาดของ Sunlight แต่มีความไม่พอใจเกี่ยวกับกลิ่นที่แรงของไลปอนเอฟ,,2025-12-12T18:58:21.813996,2
P1,ขจัดคราบมัน,Functionality,Positive,0.85,High,ใช่ค่ะ อยากได้กลิ่นหอมมากกว่า เพราะจานมันไม่ค่อยมันเท่าไหร่ อยากให้ล้างแล้วกลิ่นสะอาด เหมือนห้องครัวหอมขึ้น,8,8,ผู้ตอบแสดงความต้องการให้ห้องครัวมีกลิ่นหอมและสะอาด ซึ่งแสดงถึงความพึงพอใจต่อผลลัพธ์ที่ต้องการ,,2025-12-12T18:58:21.813996,2
P1,ขจัดคราบมัน,Performance,Neutral,0.75,High,อยากให้ล้างง่าย ไม่ต้องใช้น้ำเยอะ เพราะอยู่คอนโด น้ำมันไม่แรงมาก แล้วก็ไม่ชอบฟองเยอะ เพราะจะล้างยาก,10,10,ข้อความแสดงความต้องการในการล้างที่ง่ายและไม่ต้องใช้น้ำมาก แต่ไม่ได้แสดงอารมณ์ที่ชัดเจนทั้งในทางบวกหรือลบ,,2025-12-12T18:58:21.813996,2
P1,ขจัดคราบมัน,Performance,Mixed,0.75,High,สนใจนะคะ แต่ต้องกลิ่นไม่เหม็นเขียว แล้วต้องไม่รู้สึกว่าล้างไม่สะอาด บางสูตรธรรมชาติมันลื่นๆ เหมือนล้างไม่หมด,18,18,ผู้ตอบแสดงความสนใจในผลิตภัณฑ์ แต่มีข้อกังวลเกี่ยวกับกลิ่นและความรู้สึกหลังการล้าง ทำให้มีทั้งความพึงพอใจและความไม่พอใจในข้อความ,,2025-12-12T18:58:21.813996,2
P1,ขจัดคราบมัน,Performance,Mixed,0.75,High,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,22,22,ข้อความมีความรู้สึกเชิงบวกต่อผลิตภัณฑ์ Sunlight ในด้านกลิ่นและการใช้งาน แต่มีความรู้สึกเชิงลบเล็กน้อยเกี่ยวกับลักษณะของ LiponF ที่ดูบ้านๆ,,2025-12-12T18:58:21.813996,2
P1,ล้างออกง่าย,Performance,Mixed,0.75,High,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,4,4,ผู้ตอบมีความพึงพอใจต่อกลิ่นสดชื่นและความสะอาดของ Sunlight แต่มีความไม่พอใจเล็กน้อยเกี่ยวกับกลิ่นที่แรงของไลปอนเอฟ,,2025-12-12T18:58:21.813996,20
P1,ล้างออกง่าย,Performance,Negative,0.75,High,อยากให้ล้างง่าย ไม่ต้องใช้น้ำเยอะ เพราะอยู่คอนโด น้ำมันไม่แรงมาก แล้วก็ไม่ชอบฟองเยอะ เพราะจะล้างยาก,10,10,ผู้ตอบแสดงความไม่พอใจเกี่ยวกับการล้างที่ยากและการใช้น้ำเยอะ ซึ่งบ่งบอกถึงความไม่สะดวกในการใช้งาน,,2025-12-12T18:58:21.813996,20
P1,ล้างออกง่าย,Performance,Mixed,0.75,High,สนใจนะคะ แต่ต้องกลิ่นไม่เหม็นเขียว แล้วต้องไม่รู้สึกว่าล้างไม่สะอาด บางสูตรธรรมชาติมันลื่นๆ เหมือนล้างไม่หมด,18,18,ผู้ตอบแสดงความสนใจในผลิตภัณฑ์ แต่มีข้อกังวลเกี่ยวกับกลิ่นและความรู้สึกหลังการล้าง ซึ่งแสดงถึงความรู้สึกที่ไม่แน่ใจ,,2025-12-12T18:58:21.813996,20
P1,ล้างออกง่าย,Performance,Positive,0.9,High,ใช้ได้นาน ล้างออกง่าย และไม่ต้องใช้น้ำเยอะ ถ้าใช้แล้วไม่ต้องบีบเยอะถือว่าคุ้มค่ะ,24,24,ข้อความแสดงถึงความพึงพอใจในการใช้งาน โดยระบุว่าล้างออกง่ายและไม่ต้องใช้น้ำเยอะ ซึ่งถือว่าคุ้มค่า,,2025-12-12T18:58:21.813996,20
P1,ล้างออกง่าย,Usability,Positive,0.85,High,Sunlight ค่ะ เพราะชอบกลิ่นและล้างออกง่ายกว่า,26,26,ผู้ตอบแสดงความพึงพอใจต่อกลิ่นและความสะดวกในการล้างออก,,2025-12-12T18:58:21.813996,20
P1,ล้างออกง่าย,Ease of Use,Positive,0.9,High,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,30,ข้อความแสดงความพึงพอใจต่อการใช้งานที่ง่าย กลิ่นหอม และดีไซน์ที่สวยงาม ทำให้รู้สึกดีเมื่อใช้ในห้องครัว,,2025-12-12T18:58:21.813996,20
P1,ฟอง,Performance,Negative,0.9,Medium,อยากให้ล้างง่าย ไม่ต้องใช้น้ำเยอะ เพราะอยู่คอนโด น้ำมันไม่แรงมาก แล้วก็ไม่ชอบฟองเยอะ เพราะจะล้างยาก,10,10,ผู้ตอบแสดงความไม่พอใจเกี่ยวกับการล้างที่ยากและปริมาณฟองที่มาก ซึ่งทำให้การใช้งานไม่สะดวก,,2025-12-12T18:58:21.813996,13
P1,มือไม่แห้ง / อ่อนโยนต่อมือ,User Experience,Positive,0.9,Medium,เคยค่ะ บางสูตรของแบรนด์อื่นถ้าแรงไปจะรู้สึกมือแห้ง แต่ Sunlight สูตรมะนาวรู้สึกโอเค,12,12,ผู้ตอบแสดงความพึงพอใจต่อสูตรของ Sunlight ที่ไม่ทำให้มือแห้งและรู้สึกโอเคเมื่อใช้,,2025-12-12T18:58:21.813996,17
P1,มือไม่แห้ง / อ่อนโยนต่อมือ,Gentle on Hands,Positive,0.9,Medium,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,30,"ข้อความแสดงถึงความพึงพอใจในหลายด้าน เช่น การล้างง่าย, กลิ่นหอม, และดีไซน์ที่สวยงาม ซึ่งทั้งหมดนี้ส่งผลให้เกิดความรู้สึกเชิงบวก",,2025-12-12T18:58:21.813996,17
P1,แพ็กเกจ / ขวด / ดีไซน์,Design,Positive,0.8,High,กลิ่นก่อนเลยค่ะ แล้วก็ดูว่าขวดขนาดกลางหรือเล็ก พกง่าย เก็บง่าย เพราะพื้นที่ซิงค์เล็ก,14,14,ข้อความแสดงถึงความพึงพอใจในกลิ่นและความสะดวกในการพกพาและเก็บขวด ซึ่งบ่งบอกถึงความชอบในดีไซน์และฟังก์ชันการใช้งาน,,2025-12-12T18:58:21.813996,31
P1,แพ็กเกจ / ขวด / ดีไซน์,Packaging / Design,Mixed,0.75,High,Sunlight จะเห็นบ่อยกว่า เหมือนภาพลักษณ์ดูสดใส น่าใช้ ส่วน LiponF ไม่ค่อยเห็นโฆษณาเลย แต่รู้ว่าเป็นแบรนด์เก่าแก่,20,20,ข้อความมีทั้งความรู้สึกเชิงบวกต่อแบรนด์ Sunlight ที่มีภาพลักษณ์สดใสและน่าใช้ แต่ก็มีความรู้สึกเชิงลบหรือไม่พอใจต่อ LiponF ที่ไม่ค่อยเห็นโฆษณา ทำให้เกิดความรู้สึกที่หลากหลาย,,2025-12-12T18:58:21.813996,31
P1,แพ็กเกจ / ขวด / ดีไซน์,Design,Mixed,0.75,High,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,22,22,ผู้ตอบแสดงความพึงพอใจต่อกลิ่นและการใช้งาน แต่มีความคิดเห็นเชิงลบเกี่ยวกับดีไซน์ที่ดูบ้านๆ,,2025-12-12T18:58:21.813996,31
P1,แพ็กเกจ / ขวด / ดีไซน์,Design,Positive,0.9,High,อยากให้ขวดแบบหัวปั๊มมีขายในไซซ์กลางๆ มากกว่านี้ เพราะพกง่ายดี ไม่ชอบต้องเทจากขวดใหญ่,28,28,ผู้ตอบแสดงความต้องการและความพึงพอใจต่อขวดแบบหัวปั๊มในไซซ์กลางๆ ซึ่งสะดวกต่อการพกพา และไม่ชอบการเทจากขวดใหญ่ แสดงถึงความชื่นชอบในดีไซน์ที่ใช้งานง่าย,,2025-12-12T18:58:21.813996,31
P1,แพ็กเกจ / ขวด / ดีไซน์,Packaging / Design,Positive,0.9,High,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,30,ข้อความแสดงถึงความพึงพอใจในด้านการใช้งานที่ง่าย กลิ่นหอม และดีไซน์ที่สวยงาม ซึ่งทั้งหมดนี้เป็นความคิดเห็นเชิงบวก,,2025-12-12T18:58:21.813996,31
P1,แพ็กเกจ / ขวด / ดีไซน์,Design,Positive,0.8,High,อยากให้เน้นเรื่องกลิ่นและแพ็กเกจจิ้งให้เหมาะกับคนอยู่คอนโด เพราะกลุ่มนี้มีเยอะขึ้นค่ะ,34,34,ผู้ตอบแสดงความต้องการให้มีการปรับปรุงในด้านกลิ่นและแพ็กเกจจิ้งเพื่อให้เหมาะกับกลุ่มคนที่อยู่คอนโด ซึ่งแสดงถึงความสนใจและความพึงพอใจในผลิตภัณฑ์,,2025-12-12T18:58:21.813996,31
P1,มาตรฐาน,Quality,Positive,0.8,Medium,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่นๆ,16,16,ผู้ตอบแสดงความรู้สึกเชิงบวกต่อแบรนด์ที่มีมาตรฐานและความคุ้นเคยกับแบรนด์ที่กล่าวถึง,,2025-12-12T18:58:21.813996,16
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Positive,0.8,High,ใช้ LiponF ค่ะ แล้วบางทีก็สลับกับ Sunlight สูตรธรรมชาติ เพราะลูกยังเล็ก เลยกลัวพวกสารเคมีแรงๆ,2,36,ผู้ตอบแสดงความพึงพอใจในการเลือกใช้ผลิตภัณฑ์ที่ปลอดภัยและไม่ใช้สารเคมีที่อาจเป็นอันตรายต่อลูก,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Positive,0.9,High,ใช้มาตั้งแต่สมัยแม่เลยค่ะ LiponF รู้สึกว่าล้างมันออกดี ส่วน Sunlight ก็มีสูตรที่เขียนว่า gentle เหมือนปลอดภัยกว่า,4,38,ข้อความแสดงถึงความพึงพอใจในการใช้ผลิตภัณฑ์ LiponF และความรู้สึกว่าผลิตภัณฑ์ Sunlight มีความปลอดภัย ทำให้มีความรู้สึกเชิงบวกต่อผลิตภัณฑ์ที่กล่าวถึง,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety / No Residue,Positive,0.9,High,มือไม่แห้งกับกลิ่นค่ะ เพราะล้างทุกวัน วันละหลายรอบ แล้วก็ไม่อยากให้มีกลิ่นติดจาน ลูกชอบเอามือเข้าปาก,6,40,ผู้ตอบแสดงความพึงพอใจต่อการล้างมือและความสะอาด โดยเน้นถึงความสำคัญของการไม่มีสารตกค้างและกลิ่นที่ไม่พึงประสงค์,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Negative,0.75,High,เคยค่ะ แต่บางตัวล้างแล้วจานยังลื่น หรือกลิ่นติดแรงมาก ไม่มั่นใจเลยว่าจะปลอดภัยกับลูกหรือเปล่า,8,42,ผู้ตอบแสดงความกังวลเกี่ยวกับความปลอดภัยและประสิทธิภาพของผลิตภัณฑ์ โดยระบุว่ามีปัญหาเกี่ยวกับกลิ่นและความลื่นของจานหลังการล้าง,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Neutral,0.75,High,ดูคำว่า “อ่อนโยน” หรือ “ไม่มีสารตกค้าง” ก่อนเลย แล้วถึงจะดูราคา,10,44,ข้อความเน้นที่การพิจารณาคุณสมบัติของผลิตภัณฑ์โดยไม่แสดงอารมณ์ที่ชัดเจน ทั้งในด้านบวกหรือลบ,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Positive,0.8,High,ขอแบบอ่อนโยนดีกว่าค่ะ เพราะกลัวเรื่องสารตกค้าง ถึงจะต้องล้างสองรอบก็ไม่เป็นไร,12,46,ผู้ตอบแสดงความต้องการให้ผลิตภัณฑ์มีความอ่อนโยนและปลอดภัยจากสารตกค้าง ซึ่งแสดงถึงความใส่ใจในสุขภาพและความปลอดภัย,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Negative,0.9,High,มีค่ะ กลิ่นแรงเกินจะรู้สึกว่าไม่ปลอดภัย โดยเฉพาะเวลาล้างขวดนมเด็ก,16,50,ผู้ตอบแสดงความกังวลเกี่ยวกับกลิ่นที่แรงและความไม่ปลอดภัยในการใช้งาน โดยเฉพาะในบริบทที่เกี่ยวข้องกับเด็ก,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Positive,0.9,High,สนใจมากเลยค่ะ เพราะจะได้ไม่ต้องมีสองขวด ใช้ขวดเดียวล้างได้ทั้งของผู้ใหญ่กับของลูก,20,54,ผู้ตอบแสดงความสนใจและความพึงพอใจต่อผลิตภัณฑ์ที่สามารถใช้ได้ทั้งผู้ใหญ่และเด็ก โดยไม่ต้องมีขวดหลายใบ ซึ่งแสดงถึงความสะดวกสบาย,,2025-12-12T18:59:58.759816,11
P2,ปลอดภัย / ไม่มีสารตกค้าง,Safety,Positive,0.9,High,แนะนำ Sunlight สูตรธรรมชาติค่ะ เพราะล้างออกง่าย กลิ่นไม่แรง รู้สึกปลอดภัยกว่า,26,60,ข้อความแสดงถึงความพึงพอใจในผลิตภัณฑ์ Sunlight สูตรธรรมชาติ โดยเน้นที่การล้างออกง่ายและกลิ่นไม่แรง ซึ่งทำให้รู้สึกปลอดภัย,,2025-12-12T18:59:58.759816,11
P2,มือไม่แห้ง / อ่อนโยนต่อมือ,Gentle on Hands,Positive,0.9,High,ใช้ LiponF ค่ะ แล้วบางทีก็สลับกับ Sunlight สูตรธรรมชาติ เพราะลูกยังเล็ก เลยกลัวพวกสารเคมีแรงๆ,2,36,ผู้ตอบแสดงความพึงพอใจในการเลือกใช้ผลิตภัณฑ์ที่อ่อนโยนและปลอดภัยสำหรับลูก โดยมีการเปรียบเทียบผลิตภัณฑ์ที่ใช้ ซึ่งแสดงถึงความใส่ใจในสุขภาพของลูก,,2025-12-12T18:59:58.759816,17
P2,มือไม่แห้ง / อ่อนโยนต่อมือ,Gentleness,Positive,0.9,High,ใช้มาตั้งแต่สมัยแม่เลยค่ะ LiponF รู้สึกว่าล้างมันออกดี ส่วน Sunlight ก็มีสูตรที่เขียนว่า gentle เหมือนปลอดภัยกว่า,4,38,ข้อความแสดงถึงความพึงพอใจในการใช้ผลิตภัณฑ์ LiponF และความรู้สึกว่าผลิตภัณฑ์ Sunlight มีความอ่อนโยนและปลอดภัยต่อมือ,,2025-12-12T18:59:58.759816,17
P2,มือไม่แห้ง / อ่อนโยนต่อมือ,Gentle on Hands,Positive,0.9,High,มือไม่แห้งกับกลิ่นค่ะ เพราะล้างทุกวัน วันละหลายรอบ แล้วก็ไม่อยากให้มีกลิ่นติดจาน ลูกชอบเอามือเข้าปาก,6,40,ข้อความแสดงถึงความพึงพอใจในการดูแลมือให้ไม่แห้งและไม่มีกลิ่น ซึ่งเป็นสิ่งที่ดีต่อสุขภาพของลูก,,2025-12-12T18:59:58.759816,17
P2,มือไม่แห้ง / อ่อนโยนต่อมือ,Sensory,Neutral,0.75,High,ดูคำว่า “อ่อนโยน” หรือ “ไม่มีสารตกค้าง” ก่อนเลย แล้วถึงจะดูราคา,10,44,ข้อความเน้นที่การพิจารณาคุณสมบัติของผลิตภัณฑ์โดยไม่แสดงความรู้สึกเชิงบวกหรือเชิงลบชัดเจน,,2025-12-12T18:59:58.759816,17
P2,มือไม่แห้ง / อ่อนโยนต่อมือ,User Experience,Positive,0.8,High,ขอแบบอ่อนโยนดีกว่าค่ะ เพราะกลัวเรื่องสารตกค้าง ถึงจะต้องล้างสองรอบก็ไม่เป็นไร,12,46,ผู้ตอบแสดงความต้องการที่จะใช้ผลิตภัณฑ์ที่อ่อนโยนและมีความกังวลเกี่ยวกับสารตกค้าง ซึ่งแสดงถึงความใส่ใจในสุขภาพและความปลอดภัย,,2025-12-12T18:59:58.759816,17
P2,มือไม่แห้ง / อ่อนโยนต่อมือ,Gentleness,Mixed,0.75,High,LiponF คือเข้มข้น ล้างสะอาดดี แต่ฟังดูเหมือนเหมาะกับบ้านที่ล้างเยอะๆ ส่วน Sunlight ดูอ่อนโยนกว่า ภาพลักษณ์ดูสากลกว่า,14,48,ข้อความมีการเปรียบเทียบระหว่าง LiponF และ Sunlight โดย LiponF ถูกมองว่าเข้มข้นและล้างสะอาด แต่เหมาะกับการใช้งานที่มาก ในขณะที่ Sunlight ดูอ่อนโยนและมีภาพลักษณ์ที่ดีกว่า ทำให้มีความรู้สึกทั้งบวกและลบในเวลาเดียวกัน,,2025-12-12T18:59:58.759816,17
P2,มือไม่แห้ง / อ่อนโยนต่อมือ,Gentleness,Positive,0.9,High,LiponF ให้ 8 เพราะล้างดีแต่กลิ่นแรงไปนิด ส่วน Sunlight ให้ 9 เพราะกลิ่นหอม ล้างง่าย มือไม่แห้ง,24,58,ผู้ตอบแสดงความพึงพอใจต่อผลิตภัณฑ์โดยให้คะแนนสูง และชื่นชมในเรื่องกลิ่นหอมและการล้างที่ง่าย ทำให้มือไม่แห้ง,,2025-12-12T18:59:58.759816,17
P2,ขจัดคราบมัน,Performance,Positive,0.9,High,ใช้มาตั้งแต่สมัยแม่เลยค่ะ LiponF รู้สึกว่าล้างมันออกดี ส่วน Sunlight ก็มีสูตรที่เขียนว่า gentle เหมือนปลอดภัยกว่า,4,38,ผู้ตอบแสดงความพึงพอใจในการใช้ผลิตภัณฑ์ LiponF และมีความเชื่อมั่นในประสิทธิภาพในการล้างคราบมัน รวมถึงการเปรียบเทียบกับ Sunlight ที่มีสูตรที่ดูปลอดภัย,,2025-12-12T18:59:58.759816,2
P2,ขจัดคราบมัน,Performance,Mixed,0.75,High,LiponF คือเข้มข้น ล้างสะอาดดี แต่ฟังดูเหมือนเหมาะกับบ้านที่ล้างเยอะๆ ส่วน Sunlight ดูอ่อนโยนกว่า ภาพลักษณ์ดูสากลกว่า,14,48,ข้อความมีทั้งความชื่นชมในความเข้มข้นและความสะอาดของ LiponF แต่ก็มีการเปรียบเทียบกับ Sunlight ที่ดูอ่อนโยนกว่า ทำให้มีความรู้สึกที่หลากหลาย,,2025-12-12T18:59:58.759816,2
P2,ขจัดคราบมัน,Performance,Mixed,0.75,High,LiponF ให้ 8 เพราะล้างดีแต่กลิ่นแรงไปนิด ส่วน Sunlight ให้ 9 เพราะกลิ่นหอม ล้างง่าย มือไม่แห้ง,24,58,ผู้ตอบมีความพึงพอใจต่อผลิตภัณฑ์ Sunlight แต่มีข้อเสียเกี่ยวกับกลิ่นของ LiponF ที่แรงเกินไป,,2025-12-12T18:59:58.759816,2
P2,กลิ่นหอม,Sensory,Neutral,0.75,High,มือไม่แห้งกับกลิ่นค่ะ เพราะล้างทุกวัน วันละหลายรอบ แล้วก็ไม่อยากให้มีกลิ่นติดจาน ลูกชอบเอามือเข้าปาก,6,40,ข้อความแสดงถึงการดูแลความสะอาดและความกังวลเกี่ยวกับกลิ่น แต่ไม่มีการแสดงความรู้สึกเชิงบวกหรือเชิงลบที่ชัดเจน,,2025-12-12T18:59:58.759816,1
